
	This is the value you fill out in the game menu									Script value
In-game	6	7	8	9	10	11	12	13	14	20
ADS sens	4.2	4.9	5.6	6.3	7	7.7	8.4	9.1	9.8	

In-game	6	7	8	9	10	11	12	13	14	19
ADS sens	4.3	5	5.7	6.4	7.2	7.9	8.6	9.3	10	

In-game	6	7	8	9	10	11	12	13	14	18
ADS sens	4.4	5.1	5.9	6.6	7.4	8.1	8.8	9.6	10.3	

In-game	6	7	8	9	10	11	12	13	14	17
ADS sens	4.5	5.3	6	6.8	7.6	8.3	9.1	9.8	10.6	

In-game	6	7	8	9	10	11	12	13	14	16
ADS sens	4.6	5.4	6.2	7	7.8	8.6	9.4	10.1	10.9	

In-game	6	7	8	9	10	11	12	13	14	15
ADS sens	4.8	5.6	6.4	7.2	8	8.8	9.6	10.4	11.2	

In-game	6	7	8	9	10	11	12	13	14	14
ADS sens	4.9	5.8	6.6	7.4	8.2	9	9.8	10.6	11.4	

In-game	6	7	8	9	10	11	12	13	14	13
ADS sens	5.3	6.1	6.9	7.7	8.5	9.3	10.1	10.9	11.7	

In-game	6	7	8	9	10	11	12	13	14	12
ADS sens	5.1	6	6.8	7.7	8.6	9.5	10.3	11.2	12	

In-game	6	7	8	9	10	11	12	13	14	11
ADS sens	5.2	6.1	7,4	7.9	8.8	9.7	10,6	11.4	12.3	

In-game	6	7	8	9	10	11	12	13	14	10
ADS sens	5.4	6.3	7.2	8.1	9	9.9	10.8	11.7	12.6	












